"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bench Press (Barbell)",,"",3,"normal",50,8,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bench Press (Barbell)",,"",4,"normal",45,9,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bench Press (Barbell)",,"",5,"normal",40,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Hip Adduction (Machine)",,"",0,"normal",30,15,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Hip Adduction (Machine)",,"",1,"normal",50,11,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Hip Adduction (Machine)",,"",2,"normal",60,11,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Hip Adduction (Machine)",,"",3,"normal",60,11,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Hip Adduction (Machine)",,"",4,"normal",60,11,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Pull Up",,"",0,"normal",,6,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Iso-Lateral Row (Machine)",,"",0,"normal",35,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Iso-Lateral Row (Machine)",,"",1,"normal",60,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Iso-Lateral Row (Machine)",,"",2,"normal",70,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Iso-Lateral Row (Machine)",,"",3,"normal",70,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Lat Pulldown (Cable)",,"",0,"normal",25,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Lat Pulldown (Cable)",,"",1,"normal",40,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Lat Pulldown (Cable)",,"",2,"normal",40,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Lat Pulldown (Cable)",,"",3,"normal",35,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bicep Curl (Barbell)",,"",0,"normal",10,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bicep Curl (Barbell)",,"",1,"normal",25,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bicep Curl (Barbell)",,"",2,"normal",20,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bicep Curl (Barbell)",,"",3,"normal",20,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Bicep Curl (Barbell)",,"",4,"normal",15,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Skullcrusher (Barbell)",,"",0,"normal",10,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Skullcrusher (Barbell)",,"",1,"normal",10,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Skullcrusher (Barbell)",,"",2,"normal",10,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Skullcrusher (Barbell)",,"",3,"normal",10,10,,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Farmers Walk",,"",0,"normal",40,,0.05,,
"Afternoon workout 💪","11 Jul 2023, 01:34","11 Jul 2023, 03:02","","Farmers Walk",,"",1,"normal",40,,0.03,,
"Afternoon workout 💪","7 Jul 2023, 03:28","7 Jul 2023, 04:32","","Bench Press (Barbell)",,"",0,"normal",20,15,,,
"Afternoon workout 💪","7 Jul 2023, 03:28","7 Jul 2023, 04:32","","Bench Press (Barbell)",,"",1,"normal",30,10,,,
"Afternoon workout 💪","7 Jul 2023, 03:28","7 Jul 2023, 04:32","","Bench Press (Barbell)",,"",2,"normal",40,10,,,
"Afternoon workout 💪","7 Jul 2023, 03:28","7 Jul 2023, 04:32","","Bench Press (Barbell)",,"",3,"normal",45,10,,,
"Afternoon workout 💪","7 Jul 2023, 03:28","7 Jul 2023, 04:32","","Bench Press (Barbell)",,"",4,"normal",45,8,,,
"Afternoon workout 💪","7 Jul 2023, 03:28","7 Jul 2023, 04:32","","Bench Press (Barbell)",,"",5,"normal",40,103,,,
"Afternoon workout 💪","7 Jul 2023, 03:28","7 Jul 2023, 04:32","","Lat Pulldown (Cable)",,"",0,"normal",30,10,,,
